Source,Project,ALMA_Band,min_freq_GHz,max_freq_GHz,SiO_transition,SiO_freq_GHz,ang_res_arcsec,MOUS_ID
AKC2006-18,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.344,uid://A001/X1288/X16d
BP Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.114,uid://A001/X885/X1f6
BP Tau,2019.1.00607.S,6,215.56,217.43,J=5-4,217.10498,0.024,uid://A001/X14ee/X21
BP Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.588,uid://A001/X362e/X426
CI Tau,2016.1.00627.S,6,260.46,260.57,J=6-5,260.5182,0.476,uid://A001/X879/X89d
CI Tau,2015.1.01207.S,6,216.24,217.18,J=5-4,217.10498,0.246,uid://A001/X2fb/Xbb0
CI Tau,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.114,uid://A001/X885/X1ec
CM Cha,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.287,uid://A001/X13a/X158
CM Cha,2017.1.01419.S,6,216.55,218.53,J=5-4,217.10498,0.167,uid://A001/X1284/X1ef7
CM Cha,2017.1.01419.S,6,216.55,218.54,J=5-4,217.10498,0.911,uid://A001/X1284/X1ef9
DH Tau A,2016.1.01018.S,7,346.76,348.74,J=8-7,347.331,0.925,uid://A001/X888/X15e
DL Tau,2015.1.01207.S,6,216.24,217.17,J=5-4,217.10498,0.251,uid://A001/X2fb/Xbb0
DL Tau,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.117,uid://A001/X885/X1ec
DL Tau,2017.1.00857.S,8,476.7,478.7,J=11-10,477.50612,2.652,uid://A001/X12c4/X217
DN Tau,2015.1.01207.S,6,216.24,217.17,J=5-4,217.10498,0.312,uid://A001/X2fb/Xbb4
DN Tau,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.115,uid://A001/X885/X1ec
DN Tau,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.136,uid://A001/X892/X4d
DN Tau,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.554,uid://A001/X892/X4f
DO Tau,2016.1.00627.S,6,260.46,260.57,J=6-5,260.5182,0.485,uid://A001/X879/X89d
DO Tau,2015.1.01207.S,6,216.24,217.17,J=5-4,217.10498,0.274,uid://A001/X2fb/Xbb8
DO Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.116,uid://A001/X885/X1ec
DO Tau,2019.1.00496.S,6,216.98,217.22,J=5-4,217.10498,0.124,uid://A001/X1465/X2de4
DO Tau,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.138,uid://A001/X892/X4d
DO Tau,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.56,uid://A001/X892/X4f
DO Tau,2017.1.00857.S,8,476.7,478.7,J=11-10,477.50612,2.643,uid://A001/X12c4/X217
DR Tau,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.111,uid://A001/X885/X1f0
DR Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,1.655,uid://A001/X362e/X41c
DR Tau,2017.1.00857.S,8,476.7,478.7,J=11-10,477.50612,2.52,uid://A001/X12c4/X217
DS Tau,2011.0.00150.S,6,216.06,217.94,J=5-4,217.10498,0.877,uid://A002/X327408/X3b
DS Tau,2011.0.00150.S,7,346.06,347.94,J=8-7,347.331,0.593,uid://A002/X327408/X3d
DS Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.115,uid://A001/X885/X1f3
EXLup,2017.1.00388.S,3,85.07,86.95,J=2-1,86.84696,0.071,uid://A001/X1288/Xb70
EXLup,2016.1.01239.S,6,215.56,217.44,J=5-4,217.10498,0.183,uid://A001/X87c/X3c6
EXLup,2019.1.01172.S,6,217.07,217.13,J=5-4,217.10498,1.132,uid://A001/X146a/Xa3
EXLup,2019.1.01172.S,6,217.07,217.13,J=5-4,217.10498,5.466,uid://A001/X146a/Xa5
EXLup,2019.1.01172.S,6,217.07,217.13,J=5-4,217.10498,0.318,uid://A001/X146a/Xa1
EXLup,2019.1.01172.S,6,217.07,217.13,J=5-4,217.10498,25.848,uid://A001/X146a/Xa7
FP Tau,2013.1.00426.S,7,346.7,348.68,J=8-7,347.331,0.162,uid://A001/X13c/X4c
FT Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.111,uid://A001/X885/X1f6
GI Tau,2011.0.00150.S,7,346.07,347.94,J=8-7,347.331,0.58,uid://A002/X327408/X37
GI Tau,2011.0.00150.S,6,216.06,217.94,J=5-4,217.10498,0.863,uid://A002/X327408/X39
GI Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.57,uid://A001/X335d/X132
GI Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.084,uid://A001/X335d/X130
GI Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.015,uid://A001/X335d/X126
GI Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.11,uid://A001/X885/X1f6
GI Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.11,uid://A001/X885/X1f6
GI Tau,2018.1.00771.S,6,217.0,217.47,J=5-4,217.10498,0.144,uid://A001/X133d/X15df
GI Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.477,uid://A001/X362e/X426
GK Tau,2011.0.00150.S,7,346.07,347.94,J=8-7,347.331,0.58,uid://A002/X327408/X37
GK Tau,2011.0.00150.S,6,216.06,217.94,J=5-4,217.10498,0.863,uid://A002/X327408/X39
GK Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.57,uid://A001/X335d/X132
GK Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.084,uid://A001/X335d/X130
GK Tau,2022.1.00828.S,7,347.14,349.01,J=8-7,347.331,0.015,uid://A001/X335d/X126
GK Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.11,uid://A001/X885/X1f6
GK Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.11,uid://A001/X885/X1f6
GK Tau,2018.1.00771.S,6,217.0,217.47,J=5-4,217.10498,0.144,uid://A001/X133d/X15df
GK Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.477,uid://A001/X362e/X426
GO Tau,2015.1.01207.S,6,216.24,217.17,J=5-4,217.10498,0.275,uid://A001/X2fb/Xbbc
GO Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.115,uid://A001/X885/X1ec
HO Tau,2011.0.00150.S,6,216.07,217.94,J=5-4,217.10498,0.85,uid://A002/X327408/X39
HO Tau,2011.0.00150.S,7,346.07,347.94,J=8-7,347.331,0.56,uid://A002/X327408/X37
HO Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.108,uid://A001/X885/X1f6
HO Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.443,uid://A001/X362e/X426
HP Tau,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.114,uid://A001/X885/X1ec
HP Tau,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.452,uid://A001/X362e/X426
HP Tau,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.151,uid://A001/X3621/X1da7
HQ Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.109,uid://A001/X885/X1f6
HQ Tau,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.243,uid://A001/X3621/X1da7
Haro 6-13,2016.1.01164.S,6,217.01,218.99,J=5-4,217.10498,0.115,uid://A001/X885/X1ec
Haro 6-13,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.557,uid://A001/X892/X4f
Haro 6-13,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.135,uid://A001/X892/X4d
Haro 6-13,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,2.478,uid://A001/X362e/X426
Haro 6-37 A,2022.1.01302.S,6,217.06,218.93,J=5-4,217.10498,0.115,uid://A001/X2d20/X1260
Haro 6-37 B,2022.1.01302.S,6,217.06,218.93,J=5-4,217.10498,0.115,uid://A001/X2d20/X1260
Hn 22,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
Hn 22,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
Hn 23,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
Hn 23,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
Hn 24,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.289,uid://A001/X13a/X158
Hn 24,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.289,uid://A001/X13a/X158
Hn 24,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.29,uid://A001/X13a/X158
Hn 25,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
Hn 26,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.289,uid://A001/X13a/X158
Hn 26,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.289,uid://A001/X13a/X158
IP Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.112,uid://A001/X885/X1f6
IQ Tau,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.117,uid://A001/X885/X1ec
IRAS12496-7650,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.884,uid://A001/X3621/X1d9e
IRAS12496-7650,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.288,uid://A001/X13a/X158
IRAS12496-7650,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.789,uid://A001/X1465/X12e
IRAS12535-7623,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.286,uid://A001/X13a/X158
ISO-CHAII 13,2013.1.00708.S,6,216.11,218.09,J=5-4,217.10498,0.289,uid://A001/X13a/X158
ITG 15,2015.1.01460.S,6,216.25,218.23,J=5-4,217.10498,0.196,uid://A001/X2fe/Xcfe
ITG 15,2011.0.00259.S,3,85.17,87.04,J=2-1,86.84696,2.131,uid://A001/X6f/X40
ITG 15,2015.1.00261.S,3,85.08,87.06,J=2-1,86.84696,2.471,uid://A001/X2fa/X1e1
ITG 15,2016.1.01456.S,6,216.25,218.23,J=5-4,217.10498,0.129,uid://A001/X87a/X9d9
ITG 15,2022.1.00131.S,6,217.07,217.13,J=5-4,217.10498,6.352,uid://A001/X3577/X8e
ITG 15,2017.1.00509.S,3,86.37,88.25,J=2-1,86.84696,0.1,uid://A001/X1296/Xf59
J04141188+2811535,2013.1.00426.S,7,346.7,348.68,J=8-7,347.331,0.163,uid://A001/X13c/X4c
J04141188+2811535,2023.1.00564.S,8,476.97,478.97,J=11-10,477.50612,1.948,uid://A001/X362e/X42c
J04322415+2251083,2022.1.01531.S,6,216.06,217.93,J=5-4,217.10498,0.179,uid://A001/X2d20/X928
J04322415+2251083,2022.1.01531.S,6,216.06,217.93,J=5-4,217.10498,0.053,uid://A001/X2d20/X926
J04385859+2336351,2022.1.01531.S,6,216.06,217.94,J=5-4,217.10498,0.024,uid://A001/X2d20/X92b
J04385859+2336351,2022.1.01531.S,6,216.06,217.94,J=5-4,217.10498,0.024,uid://A001/X2d20/X92b
J04390163+2336029,2022.1.01531.S,6,216.06,217.94,J=5-4,217.10498,0.024,uid://A001/X2d20/X92b
J04390163+2336029,2022.1.01531.S,6,216.06,217.94,J=5-4,217.10498,0.024,uid://A001/X2d20/X92b
J04393364+2359212,2022.1.01531.S,6,216.06,217.94,J=5-4,217.10498,0.024,uid://A001/X2d20/X92b
J04554535+3019389,2021.1.01487.S,6,215.5,217.49,J=5-4,217.10498,0.322,uid://A001/X1590/X5be
J04554969+3019400,2021.1.01487.S,6,215.5,217.49,J=5-4,217.10498,0.322,uid://A001/X1590/X5be
J10533978-7712338,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.612,uid://A001/X2f7/X242
J10533978-7712338,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J10555973-7724399,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.467,uid://A001/X121/X33d
J10555973-7724399,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.881,uid://A001/X12a3/X767
J10561638-7630530,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.877,uid://A001/X12a3/X763
J10563044-7711393,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.881,uid://A001/X12a3/X767
J10563044-7711393,2018.1.00689.S,6,216.0,217.99,J=5-4,217.10498,0.124,uid://A001/X133d/X1409
J10563044-7711393,2018.1.00689.S,6,216.0,217.99,J=5-4,217.10498,0.024,uid://A001/X133d/X1407
J10574219-7659356,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.88,uid://A001/X12a3/X763
J10581677-7717170,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.466,uid://A001/X121/X33d
J10581677-7717170,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.881,uid://A001/X12a3/X767
J10590108-7722407,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.335,uid://A001/X1590/X1a59
J10590108-7722407,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.058,uid://A001/X1590/X1a57
J10590108-7722407,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.881,uid://A001/X12a3/X767
J10590699-7701404,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.401,uid://A001/X3621/X1d9e
J10590699-7701404,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.881,uid://A001/X12a3/X767
J10590699-7701404,2017.1.00286.S,6,215.81,217.68,J=5-4,217.10498,0.059,uid://A001/X1296/Xe2a
J10590699-7701404,2017.1.00286.S,6,215.81,217.68,J=5-4,217.10498,0.472,uid://A001/X1296/Xe2c
J11004022-7619280,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.879,uid://A001/X12a3/X767
J11004022-7619280,2022.1.01302.S,6,217.06,218.93,J=5-4,217.10498,0.128,uid://A001/X2d20/X127e
J11004022-7619280,2022.1.01302.S,6,217.06,218.93,J=5-4,217.10498,0.551,uid://A001/X2d20/X1280
J11022491-7733357,2023.1.01149.S,6,216.55,218.42,J=5-4,217.10498,0.348,uid://A001/X3621/X149f
J11022491-7733357,2023.1.01149.S,6,216.55,218.42,J=5-4,217.10498,0.057,uid://A001/X3621/X149d
J11022491-7733357,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.882,uid://A001/X12a3/X767
J11022491-7733357,2017.1.00969.S,7,346.49,348.47,J=8-7,347.331,0.042,uid://A001/X129e/X99
J11023265-7729129,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.467,uid://A001/X121/X33d
J11023265-7729129,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.607,uid://A001/X2f7/X242
J11025504-7721508,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.619,uid://A001/X1288/X175
J11040909-7627193,2016.1.01018.S,7,346.76,348.74,J=8-7,347.331,0.577,uid://A001/X888/X16a
J11040909-7627193,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.462,uid://A001/X121/X33d
J11040909-7627193,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.885,uid://A001/X12a3/X767
J11044258-7741571,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11045701-7715569,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.609,uid://A001/X2f7/X242
J11062554-7633418,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.885,uid://A001/X12a3/X767
J11063945-7736052,2017.1.01627.S,6,216.51,218.49,J=5-4,217.10498,0.288,uid://A001/X1284/X11b8
J11063945-7736052,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11063945-7736052,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.617,uid://A001/X1288/X175
J11064180-7635489,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.885,uid://A001/X12a3/X767
J11064510-7727023,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.606,uid://A001/X2f7/X242
J11065906-7718535,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.609,uid://A001/X2f7/X242
J11065906-7718535,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.887,uid://A001/X12a3/X767
J11071181-7625501,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.615,uid://A001/X1288/X175
J11071206-7632232,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.876,uid://A001/X12a3/X763
J11071206-7632232,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.607,uid://A001/X2f7/X242
J11071330-7743498,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.611,uid://A001/X2f7/X242
J11072074-7738073,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
J11072074-7738073,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11072074-7738073,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11072074-7738073,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11072074-7738073,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11072074-7738073,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11072074-7738073,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.498,uid://A001/X3621/X1d9e
J11072825-7652118,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.465,uid://A001/X121/X33d
J11072825-7652118,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.605,uid://A001/X2f7/X242
J11074245-7733593,2017.1.01460.S,6,216.02,218.01,J=5-4,217.10498,0.188,uid://A001/X1284/X2307
J11074245-7733593,2017.1.01460.S,6,216.02,218.01,J=5-4,217.10498,0.03,uid://A001/X1284/X2305
J11074245-7733593,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11074245-7733593,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11074366-7739411,2024.1.01001.L,7,345.88,347.75,J=8-7,347.331,0.916,uid://A001/X37b0/X97
J11074366-7739411,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.024,uid://A001/X1465/X1a33
J11074366-7739411,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.179,uid://A001/X1465/X1a35
J11074366-7739411,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
J11074366-7739411,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
J11074366-7739411,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11074366-7739411,2023.1.00252.S,7,303.88,304.11,J=7-6,303.92703,0.432,uid://A001/X3646/X49
J11074366-7739411,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11074366-7739411,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11074366-7739411,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11074366-7739411,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11074366-7739411,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11074366-7739411,2015.1.00192.S,6,215.78,217.77,J=5-4,217.10498,0.851,uid://A001/X2f6/X13c
J11074366-7739411,2015.1.00192.S,6,215.78,217.77,J=5-4,217.10498,0.231,uid://A001/X2f6/X13a
J11074366-7739411,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.498,uid://A001/X3621/X1d9e
J11074366-7739411,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.617,uid://A001/X1288/X175
J11075792-7738449,2024.1.01001.L,7,345.88,347.75,J=8-7,347.331,0.916,uid://A001/X37b0/X97
J11075792-7738449,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.024,uid://A001/X1465/X1a33
J11075792-7738449,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.179,uid://A001/X1465/X1a35
J11075792-7738449,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
J11075792-7738449,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
J11075792-7738449,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11075792-7738449,2023.1.00252.S,7,303.88,304.11,J=7-6,303.92703,0.432,uid://A001/X3646/X49
J11075792-7738449,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.468,uid://A001/X121/X33d
J11075792-7738449,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11075792-7738449,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11075792-7738449,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11075792-7738449,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11075792-7738449,2015.1.00192.S,6,215.78,217.77,J=5-4,217.10498,0.851,uid://A001/X2f6/X13c
J11075792-7738449,2015.1.00192.S,6,215.78,217.77,J=5-4,217.10498,0.231,uid://A001/X2f6/X13a
J11075792-7738449,2023.1.00937.S,6,215.5,217.5,J=5-4,217.10498,6.498,uid://A001/X3621/X1d9e
J11075792-7738449,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.617,uid://A001/X1288/X175
J11075792-7738449,2017.1.01243.S,7,346.85,348.73,J=8-7,347.331,0.617,uid://A001/X1288/X175
J11075809-7742413,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.469,uid://A001/X121/X33d
J11075809-7742413,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.611,uid://A001/X2f7/X242
J11075809-7742413,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.058,uid://A001/X1590/X1a57
J11075809-7742413,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11075809-7742413,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11075809-7742413,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.336,uid://A001/X1590/X1a59
J11080002-7717304,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.609,uid://A001/X2f7/X242
J11080002-7717304,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.88,uid://A001/X12a3/X763
J11080148-7742288,2013.1.01075.S,7,346.71,348.69,J=8-7,347.331,0.469,uid://A001/X121/X33d
J11080148-7742288,2015.1.00333.S,7,346.51,348.49,J=8-7,347.331,0.611,uid://A001/X2f7/X242
J11080148-7742288,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.058,uid://A001/X1590/X1a57
J11080148-7742288,2017.1.01202.S,4,129.95,131.82,J=3-2,130.26861,0.889,uid://A001/X12a3/X767
J11080148-7742288,2017.1.01202.S,4,129.95,131.83,J=3-2,130.26861,0.881,uid://A001/X12a3/X763
J11080148-7742288,2021.1.00854.S,6,217.06,218.94,J=5-4,217.10498,0.336,uid://A001/X1590/X1a59
J11080297-7738425,2024.1.01001.L,7,345.88,347.75,J=8-7,347.331,0.916,uid://A001/X37b0/X97
J11080297-7738425,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.024,uid://A001/X1465/X1a33
J11080297-7738425,2019.1.01091.S,6,216.02,218.0,J=5-4,217.10498,0.179,uid://A001/X1465/X1a35
J11080297-7738425,2019.1.01792.S,6,217.07,217.13,J=5-4,217.10498,0.807,uid://A001/X1465/X12e
